Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-SMD_MY-2032-12,1,MY-2032-12,C964833
"C1, C12, C13, C3, C4",402,5,100nF,C60474
"C10, C11, C6, C8, C9",402,5,12pF,C106201
C14,805,1,10uF,C15850
C19,402,1,0.8pF,C29936
C2,603,1,4.7uF,C88902
C20,402,1,1.2pF,C19666
C5,402,1,100pF,C1551
C7,603,1,1uF,C26409
J1,PinSocket_1x05_P2.00mm_Vertical,1,Conn_01x05,
L2,402,1,3.9nH,C98062
L3,ANT-SMD_L3.2-W1.6-A,1,AN3216-245,C2916136
L4,402,1,2.7nH,C91239
L5,402,1,3.3nH,C86064
R1,603,1,620,C137695
U1,UQFN-48_L6.0-W6.0-P0.40-BL-EP4.6,1,NRF52810-QFAA-R,C1558383
U2,CRYSTAL-SMD_L3.2-W1.5,1,FC31M2-32.768-N09LLDT,C2848222
U3,LGA-14_L3.0-W2.5-P0.50-BR,1,BMI270,C2836813
U4,LED-SMD_L1.3-W0.8-LS1.7-FD,1,LS L29K-G1J2-1-Z,C7466002
U6,SW-SMD_4P-L4.8-W4.8-P3.70-LS6.4-1,1,PTS526SMG15SMTR21 LFS,C6630024
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,S3232000081040,C426985
