LCSC BOM.csv,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created?18/08/26 19:02:04,,,,BOM Export Date: 18/08/26 19:03:08,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$28.13
",,,,Website?https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
C964833,,,MY-2032-12,BAT-SMD_MY-2032-12,,-,5,,,MY-2032-12,MYOUNG,5,0.0940,0.47,C964833,-,5,5,1500,17040,In Stock,,Battery Clip Coin CR2032 Cell SMD,Exact Matches,https://www.lcsc.com/product-detail/C964833.html
C60474,,,100nF,402,,-,100,,,CC0402KRX7R7BB104,YAGEO,100,0.0057,0.57,C60474,0402,100,100,10000,4786700,In Stock,,100nF ±10% 16V Ceramic Capacitor X7R 0402,Exact Matches,https://www.lcsc.com/product-detail/C60474.html
C106201,,,12pF,402,,-,100,,,CC0402JRNPO9BN120,YAGEO,100,0.0038,0.38,C106201,0402,100,100,10000,1991400,In Stock,,12pF ±5% 50V Ceramic Capacitor NP0 0402,Exact Matches,https://www.lcsc.com/product-detail/C106201.html
C15850,,,10uF,805,,-,20,,,CL21A106KAYNNNE,Samsung Electro-Mechanics,20,0.0994,1.99,C15850,0805,20,20,2000,3004120,In Stock,,10uF ±10% 25V Ceramic Capacitor X5R 0805,Exact Matches,https://www.lcsc.com/product-detail/C15850.html
C29936,,,0.8pF,402,,-,50,,,CL10B105KA8NNNC,Samsung Electro-Mechanics,50,0.0226,1.13,C29936,0603,50,50,4000,2688800,In Stock,,1uF ±10% 25V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C29936.html
C88902,,,4.7uF,603,,-,20,,,GJM1555C1HR80WB01D,muRata,20,0.0404,0.81,C88902,0402,20,20,10000,187660,In Stock,,0.8pF 50V Ceramic Capacitor C0G 0402,Exact Matches,https://www.lcsc.com/product-detail/C88902.html
C19666,,,1.2pF,402,,-,10,,,CL10A475KO8NNNC,Samsung Electro-Mechanics,10,0.0336,0.34,C19666,0603,10,10,4000,2943250,In Stock,,4.7uF ±10% 16V Ceramic Capacitor X5R 0603,Exact Matches,https://www.lcsc.com/product-detail/C19666.html
